,id,InventoryNumber,Maker,Country,Year,LocationSite,a,b,c,d,e,f,h1,h2,body,width,length,s1,s2,s3,s4,s5,s6,H,std_s1,std_s2,std_s3,std_s4,std_s5,std_s6,s_1sthalf,std_s_1sthalf,s_2ndhalf,std_s_2ndhalf,s_tot,std_s_tot,reff,PermanentLink
174,4918,4918 ,,Germany,1850,Museum für Musikinstrumente der Universität Leipzig,0.2272147658855081,0.42687290605566131,0.3459123280588306,0.23296677365101856,0.42546194077718796,0.3415712855717935,0.40990147527926313,0.47096052824890655,461.39998530695425,0.53661206921676263,1.6020608689464988,22.583807270848762,52.947453862921449,25.713040680105969,28.30154059004262,56.16795316007574,22.679738429244566,2.39874796003734,6.8579588132907547,38.130700930400153,10.070472933548656,10.530325104707567,46.217837357293085,6.1600336096483748,43.66354193143296,5.3773458845950034e-05,3.8421062116167966e-05,5.5837305841047476e-05,3.7853672585818987e-05,5.4831236292291808e-05,0.1240900118114787,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004512/violine
175,4919,4919 ,,Germany,1893,Museum für Musikinstrumente der Universität Leipzig,0.24050829714609345,0.41899732949601581,0.34049437335789073,0.23930916252523823,0.41238050151665945,0.34831033595810235,0.44022091005313241,0.50001808896058442,439.28770556316442,0.58333958711962697,1.6433236204692869,26.051310380592422,52.908657302356374,27.053601633681492,27.516734654634355,54.983826577469557,23.655895776410468,1.6661647680024776,6.4277142586636504,42.184545482464685,10.545608624373759,8.2707377841679168,43.274374307792733,7.4438183164246929,45.726134605020064,5.4994139853907002e-05,3.9496028323209347e-05,4.8341703554204902e-05,4.0525789530684946e-05,5.1735937185765101e-05,0.12787051605931643,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004513/violine
176,4916,4916 ,,Germany,1880,Museum für Musikinstrumente der Universität Leipzig,0.24592288529703096,0.41516028321976056,0.33891683148320845,0.24593248784800448,0.42046509127443127,0.33360242087756425,0.41827055488323622,0.48218355433837129,451.50694670591832,0.54984013124214703,1.6164384548870825,23.408144603916835,48.726047479192118,29.303156640605042,27.417491048298707,55.287039715923953,22.631425612390075,1.7335763271863174,6.2090813720472395,28.048085785406254,9.8917891181653541,10.591392913311955,41.58792370965287,7.6754689086136167,43.323405192055745,4.4658640576484223e-05,3.5728448869807847e-05,4.2069144185099278e-05,3.658001743474325e-05,4.3365578620344572e-05,0.13409951857153699,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004510/violine
177,4917,4917 ,,Germany,1675,Museum für Musikinstrumente der Universität Leipzig,0.23867581050592532,0.42294622141864885,0.33837796807542586,0.24314958143159104,0.41948019642449125,0.33737022214391771,0.41762044651299896,0.47518250592751166,456.11842803676541,0.56905443180943893,1.6096815618582938,24.301917870470959,53.01258617638603,28.584130904605665,28.337173378728874,51.858771787983351,23.910495456705249,1.8038388153129941,4.9062301012789487,41.190327731440519,7.298299901215584,9.0012881656609522,35.433195066159875,6.3757238913282546,42.273912877462408,5.3695813199959296e-05,3.493305650715317e-05,4.1058220017756407e-05,3.5359932912640122e-05,4.771502466387151e-05,0.13593563798954292,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004511/violine
178,4915,4915 ,Gerhardt Reinel,Germany,1964,Museum für Musikinstrumente der Universität Leipzig,0.2357013602763465,0.41351830057174371,0.35078033915190976,0.23401703553420111,0.41008051796914435,0.35590244649665453,0.43425967015003264,0.51241142912112547,459.31083933328085,0.57387643046024162,1.6379045783857811,27.325451495610945,66.951192181839247,33.648955938562231,33.432010658939994,70.488957190956185,26.516351418544165,2.276732627973602,6.6101232598787325,56.073504428878323,12.426355231628873,7.5750374843566597,53.484137210284167,6.8312093184497735,53.802986792119214,5.8298495489115087e-05,4.2004543471187276e-05,5.6925684881052547e-05,4.2214793155238834e-05,5.7614815924892301e-05,0.11228505222733201,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004509/violine
179,4913,4913 ,Gregorius Karpp,Russian,1680,Museum für Musikinstrumente der Universität Leipzig,0.23023132334955876,0.42142340398085937,0.34834527266958187,0.22628838377143717,0.42187546671180276,0.35183614951676007,0.42256190866157334,0.49050163711581435,438.71208933428557,0.57281613757443683,1.6698757260272576,25.609426396595474,56.296817721049955,28.61762127367447,28.127959041998889,65.612186492628467,23.907424825700918,1.4795851333827577,6.0198860940246641,42.374927324828519,11.929657599974258,10.21243404068276,58.711549151904528,7.7691291636654602,46.03368580265424,6.4010276163576238e-05,4.0021700361414319e-05,5.6532516725392523e-05,4.0710799068655477e-05,6.0324931889780783e-05,0.12762365227220998,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004507/violine
180,MFIM000026596,1999.3.1.1 ,Jean Laurent Mast,France,1800,Musée de la Lutherie et de l'Archeterie (Mirecourt),0.1968546759163122,0.43593394306773292,0.36721138101595485,0.20562895289632832,0.44001117840566889,0.35435986869800279,0.39211222852132416,0.49267618260055751,567.19003607529658,0.57748939087404572,1.5317830217451707,23.393062395913411,49.25260484937057,32.749734852300122,27.582256726279471,65.107377535735836,22.562774221335982,0.86593878477549147,6.3709123893827568,37.478426423338533,25.258232140256332,6.9028169012224163,48.178776104178688,6.0754101734306651,47.825362029732496,4.109856415011118e-05,2.6128479050934203e-05,3.6443704946075536e-05,2.643999159610464e-05,3.8812028754348085e-05,0.11756593479712367,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0917522/violon
181,MIR812_1289311274794_2,MIR812 ,"Thumhardt, Johann Georg",Germany,1760,Germanisches Nationalmuseum,0.24153641741272808,0.41567979535093064,0.34278378723634129,0.24348097631372898,0.4131211724658001,0.34339785122047095,0.40722505164727713,0.48521704328091508,441.1300486705249,0.55196406456738645,1.6119056547195543,23.155935523522203,52.723840080840667,26.644174318317418,26.67454146918211,53.144915836596773,24.093836826232611,2.0616172470611183,6.427574206014083,40.713476067976735,8.4484886533285746,11.593883895697388,41.999344742811495,9.5868845330416299,42.735283729292959,4.754804240175405e-05,3.9264240763914233e-05,4.6582397699885213e-05,3.9297803467036589e-05,4.7057190135522107e-05,0.13076708416254293,http://www.mimo-international.com/MIMO/doc/IFD/OAI_GNM_DE_646469/violine
182,1988_013_f,1988/013 Cherubini ,Antonio Guadagnini,Italy,1861,Galleria dell'Accademia - Dipartimento degli strumenti Musicali - Firenze,0.23566225143789366,0.41830657234372864,0.3460311762183777,0.23265474692689628,0.41765636843279258,0.34968888464031117,0.42267641561541441,0.49731417306150738,403.16975266090697,0.57188081612203423,1.6275166047508303,25.54571131346254,61.051670567687594,26.18304768817573,31.308046268638037,61.027710800226004,24.750399889610723,0.0037899811422478446,6.2128369120852049,56.726186050238695,10.495587797919358,10.441386044110969,53.41242353135533,6.8315215888923273,46.842571561231267,7.4296863969788136e-05,5.0585865590998452e-05,6.6170559763506148e-05,5.047522807663245e-05,7.0308903507810335e-05,0.12188375500419023,http://www.mimo-international.com/MIMO/doc/IFD/IT_DSMFI_STR0001_0000105/violino
183,M2518_01,M2518 , Hopf,Unclear,1900,Musik & Teatermuseet,0.25654181480580623,0.42588981031256001,0.31756837488163375,0.26256763363930141,0.40851379404435484,0.3289185723163438,0.43840627737245796,0.5105755629034312,451.94929561684324,0.5719763548290423,1.6286054453273953,21.925657632601727,65.276280743314743,28.396275065669435,25.137847787906576,48.194599840260246,25.145613876334739,1.4964548544053728,6.5185627345248855,62.53681266904983,7.3058159065291246,9.2926924763610863,27.753397445737136,12.594593362948034,49.855122911871078,5.5313335271541036e-05,3.760168933138518e-05,4.7534104455156245e-05,4.072323342973579e-05,5.1655243399829215e-05,0.12022044149866055,http://www.mimo-international.com/MIMO/doc/IFD/OAI_SMS_MM_POST_2520/violin
